frame,time,direction
1136,56.8,unknown
1137,56.85,unknown
1138,56.9,unknown
1139,56.95,unknown
1140,57.0,unknown
1141,57.05,unknown
1142,57.1,unknown
1143,57.15,unknown
1144,57.2,unknown
1145,57.25,unknown
1146,57.3,unknown
1147,57.35,unknown
1148,57.4,unknown
1149,57.45,unknown
1150,57.5,unknown
1151,57.55,unknown
1152,57.6,unknown
1153,57.65,unknown
1154,57.7,unknown
1155,57.75,unknown
1156,57.8,unknown
1157,57.85,unknown
1158,57.9,unknown
1159,57.95,unknown
1160,58.0,unknown
1161,58.05,unknown
1162,58.1,unknown
1163,58.15,unknown
1164,58.2,unknown
1165,58.25,unknown
1166,58.3,unknown
1167,58.35,unknown
1168,58.4,unknown
1169,58.45,unknown
1170,58.5,blinking
1171,58.55,left
1172,58.6,blinking
1173,58.65,blinking
1174,58.7,blinking
1175,58.75,blinking
1176,58.8,blinking
1177,58.85,blinking
1178,58.9,blinking
1179,58.95,blinking
1180,59.0,blinking
1181,59.05,blinking
1182,59.1,blinking
1183,59.15,blinking
1184,59.2,blinking
1185,59.25,blinking
1186,59.3,blinking
1187,59.35,blinking
1188,59.4,blinking
1189,59.45,blinking
1190,59.5,blinking
1191,59.55,left
1192,59.6,blinking
1193,59.65,blinking
1194,59.7,blinking
1195,59.75,blinking
1196,59.8,blinking
1197,59.85,blinking
1198,59.9,blinking
1199,59.95,blinking
1200,60.0,left
1201,60.05,left
1202,60.1,blinking
1203,60.15,blinking
1204,60.2,blinking
1205,60.25,blinking
1206,60.3,blinking
1207,60.35,blinking
1208,60.4,blinking
1209,60.45,blinking
1210,60.5,blinking
1211,60.55,blinking
1212,60.6,blinking
1213,60.65,blinking
1214,60.7,blinking
1215,60.75,blinking
1216,60.8,blinking
1217,60.85,blinking
1218,60.9,blinking
1219,60.95,blinking
1220,61.0,blinking
1221,61.05,blinking
1222,61.1,blinking
1223,61.15,blinking
1224,61.2,blinking
1225,61.25,blinking
1226,61.3,blinking
1227,61.35,blinking
1228,61.4,blinking
1229,61.45,blinking
1230,61.5,blinking
1231,61.55,blinking
1232,61.6,blinking
1233,61.65,blinking
1234,61.7,blinking
1235,61.75,blinking
1236,61.8,blinking
1237,61.85,blinking
1238,61.9,blinking
1239,61.95,blinking
1240,62.0,blinking
1241,62.05,blinking
1242,62.1,blinking
1243,62.15,blinking
1244,62.2,blinking
1245,62.25,blinking
1246,62.3,blinking
1247,62.35,blinking
1248,62.4,blinking
1249,62.45,blinking
1250,62.5,blinking
1251,62.55,blinking
1252,62.6,blinking
1253,62.65,blinking
1254,62.7,blinking
1255,62.75,unknown
1256,62.8,blinking
1257,62.85,unknown
1258,62.9,unknown
1259,62.95,unknown
1260,63.0,unknown
1261,63.05,unknown
1262,63.1,unknown
1263,63.15,unknown
1264,63.2,unknown
1265,63.25,unknown
1266,63.3,unknown
1267,63.35,unknown
1268,63.4,unknown
1269,63.45,unknown
1270,63.5,unknown
1271,63.55,unknown
1272,63.6,blinking
1273,63.65,blinking
1274,63.7,blinking
1275,63.75,blinking
1276,63.8,blinking
1277,63.85,blinking
1278,63.9,blinking
1279,63.95,blinking
1280,64.0,blinking
1281,64.05,blinking
1282,64.1,blinking
1283,64.15,blinking
1284,64.2,blinking
1285,64.25,blinking
1286,64.3,blinking
1287,64.35,blinking
1288,64.4,blinking
1289,64.45,unknown
1290,64.5,unknown
1291,64.55,blinking
1292,64.6,blinking
1293,64.65,blinking
1294,64.7,blinking
1295,64.75,blinking
1296,64.8,blinking
1297,64.85,blinking
1298,64.9,blinking
1299,64.95,unknown
1300,65.0,blinking
1301,65.05,blinking
1302,65.1,blinking
1303,65.15,blinking
1304,65.2,blinking
1305,65.25,blinking
1306,65.3,blinking
1307,65.35,blinking
1308,65.4,blinking
1309,65.45,blinking
1310,65.5,blinking
1311,65.55,blinking
1312,65.6,blinking
1313,65.65,blinking
1314,65.7,blinking
1315,65.75,blinking
1316,65.8,blinking
1317,65.85,blinking
1318,65.9,blinking
1319,65.95,blinking
1320,66.0,blinking
1321,66.05,blinking
1322,66.1,blinking
1323,66.15,blinking
1324,66.2,blinking
1325,66.25,blinking
1326,66.3,blinking
1327,66.35,blinking
1328,66.4,blinking
1329,66.45,blinking
1330,66.5,blinking
1331,66.55,blinking
1332,66.6,blinking
1333,66.65,blinking
1334,66.7,blinking
1335,66.75,blinking
1336,66.8,blinking
1337,66.85,blinking
1338,66.9,blinking
1339,66.95,blinking
1340,67.0,blinking
1341,67.05,blinking
1342,67.1,blinking
1343,67.15,blinking
1344,67.2,blinking
1345,67.25,blinking
1346,67.3,blinking
1347,67.35,blinking
1348,67.4,blinking
1349,67.45,blinking
1350,67.5,blinking
1351,67.55,blinking
1352,67.6,blinking
1353,67.65,blinking
1354,67.7,blinking
1355,67.75,blinking
1356,67.8,blinking
1357,67.85,blinking
1358,67.9,blinking
1359,67.95,blinking
1360,68.0,blinking
1361,68.05,blinking
1362,68.1,blinking
1363,68.15,blinking
1364,68.2,blinking
1365,68.25,blinking
1366,68.3,blinking
1367,68.35,blinking
1368,68.4,blinking
1369,68.45,blinking
1370,68.5,blinking
1371,68.55,blinking
1372,68.6,blinking
1373,68.65,blinking
1374,68.7,blinking
1375,68.75,blinking
1376,68.8,blinking
1377,68.85,blinking
1378,68.9,blinking
